LenderYield,ProsperScore,BorrowerState,Occupation,OriginationYear,CreditScoreRangeLower
0.2612,4.0,SC,Accountant/CPA,2013,640.0
0.1752,5.0,WI,Executive,2012,720.0
0.1299,7.0,GA,Retail Management,2013,660.0
0.177,4.0,IL,Retail Management,2013,680.0
0.2452,5.0,NY,Construction,2012,720.0
0.1419,6.0,IL,Clergy,2013,720.0
0.1595,7.0,IL,Teacher,2013,700.0
0.1174,8.0,DE,Analyst,2013,660.0
0.2599,4.0,NJ,Sales - Commission,2013,680.0
0.1505,4.0,CA,Other,2014,660.0
0.2569,3.0,CA,Professional,2011,600.0
0.1039,11.0,IL,Investor,2014,700.0
0.1949,6.0,MD,Retail Management,2013,640.0
0.3077,4.0,CA,Other,2012,760.0
0.2499,6.0,FL,Other,2011,660.0
0.2172,3.0,MD,Other,2013,700.0
0.3099,5.0,FL,Fireman,2011,680.0
0.2759,2.0,KS,Skilled Labor,2013,660.0
0.0999,8.0,VA,Analyst,2011,760.0
0.1949,5.0,NY,Skilled Labor,2013,740.0
0.2294,4.0,UT,Other,2014,640.0
0.09,10.0,DC,Professional,2012,780.0
0.2832,2.0,NY,Other,2013,600.0
0.2858,6.0,GA,Accountant/CPA,2012,660.0
0.1884,5.0,MA,Flight Attendant,2013,760.0
0.1775,4.0,MN,Other,2014,660.0
0.1805,4.0,FL,Nurse (LPN),2014,640.0
0.2899,3.0,GA,Professional,2012,640.0
0.3099,3.0,CO,Construction,2011,700.0
0.1668,8.0,MD,Construction,2012,660.0
0.312,5.0,MN,Other,2010,700.0
0.2389,7.0,MN,Laborer,2012,680.0
0.3077,3.0,MO,Military Officer,2012,700.0
0.089,8.0,TX,Analyst,2014,680.0
0.2024,8.0,FL,Clerical,2012,720.0
0.1839,6.0,GA,Sales - Retail,2012,640.0
0.1255,9.0,VA,Computer Programmer,2014,640.0
0.0769,10.0,MO,Other,2013,800.0
0.3034,3.0,CA,Other,2013,720.0
0.1238,9.0,MD,Professional,2009,720.0
0.2187,2.0,CO,Truck Driver,2012,680.0
0.152,5.0,CT,Other,2013,660.0
0.2599,6.0,WI,Sales - Commission,2011,640.0
0.1519,6.0,IL,Other,2011,660.0
0.3077,2.0,OH,Administrative Assistant,2012,720.0
0.1134,9.0,IL,Police Officer/Correction Officer,2010,660.0
0.3,5.0,PA,Nurse (RN),2010,640.0
0.2352,6.0,IN,Laborer,2012,700.0
0.3077,3.0,AL,Social Worker,2012,740.0
0.187,6.0,TX,Professional,2013,700.0
0.166,6.0,WA,Executive,2013,700.0
0.1349,8.0,CA,Teacher,2012,720.0
0.174,4.0,MA,Clerical,2013,720.0
0.1555,3.0,NC,Laborer,2014,760.0
0.1669,6.0,LA,Construction,2013,720.0
0.3099,5.0,NC,Other,2011,640.0
0.0999,10.0,NY,Sales - Commission,2014,800.0
0.2319,2.0,TX,Retail Management,2013,660.0
0.2125,6.0,TX,Food Service Management,2013,660.0
0.1264,8.0,MD,Other,2012,740.0
0.2369,4.0,IL,Professional,2013,640.0
0.2825,2.0,KY,Skilled Labor,2013,640.0
0.1695,4.0,WI,Construction,2014,660.0
0.2899,3.0,KY,Military Enlisted,2012,620.0
0.2899,3.0,KY,Other,2012,600.0
0.0909,9.0,MD,Accountant/CPA,2009,760.0
0.2332,4.0,UT,Truck Driver,2013,640.0
0.1625,4.0,OH,Fireman,2014,680.0
0.2392,7.0,IL,Sales - Commission,2012,680.0
0.1539,6.0,WA,Tradesman - Mechanic,2013,720.0
0.0612,10.0,OK,Professional,2009,820.0
0.0709,8.0,IL,Accountant/CPA,2013,700.0
0.2404,2.0,NY,Professional,2014,680.0
0.2473,6.0,NY,Executive,2012,720.0
0.1985,3.0,MI,Skilled Labor,2013,700.0
0.2279,4.0,MN,Skilled Labor,2013,660.0
0.177,3.0,MN,Teacher,2013,700.0
0.173,7.0,CA,Computer Programmer,2012,680.0
0.3077,5.0,NY,Food Service,2012,680.0
0.0709,11.0,OR,Tradesman - Mechanic,2014,700.0
0.2055,8.0,OR,Analyst,2010,700.0
0.1335,6.0,KS,Military Officer,2014,680.0
0.0714,8.0,SC,Other,2012,800.0
0.083,8.0,CA,Other,2010,840.0
0.3034,2.0,FL,Executive,2013,640.0
0.1695,4.0,MS,Medical Technician,2014,720.0
0.166,7.0,MD,Executive,2013,660.0
0.0989,6.0,IN,Professor,2014,700.0
0.2399,5.0,FL,Other,2012,760.0
0.082,9.0,GA,Tradesman - Mechanic,2010,760.0
0.0764,10.0,MS,Teacher,2013,720.0
0.184,4.0,CA,Postal Service,2014,660.0
0.275,3.0,WA,Sales - Commission,2014,640.0
0.1369,6.0,GA,Social Worker,2012,700.0
0.2973,1.0,MN,Postal Service,2011,660.0
0.187,3.0,FL,Other,2013,680.0
0.2825,3.0,NC,Sales - Retail,2013,640.0
0.2048,7.0,WI,Computer Programmer,2012,680.0
0.0989,8.0,LA,Attorney,2012,680.0
0.2265,6.0,CA,Teacher,2010,860.0
0.3077,5.0,MD,Other,2012,660.0
0.1579,4.0,OH,Other,2013,700.0
0.1485,8.0,NJ,Sales - Commission,2014,680.0
0.166,6.0,TX,Professional,2013,700.0
0.2636,4.0,VA,Military Enlisted,2013,640.0
0.2499,5.0,KY,Other,2011,720.0
0.1669,5.0,TX,Nurse (RN),2013,720.0
0.1246,9.0,NY,Other,2012,840.0
0.1521,8.0,FL,Waiter/Waitress,2011,660.0
0.2475,8.0,NY,Professional,2010,660.0
0.0779,10.0,NC,Civil Service,2014,740.0
0.3099,2.0,VA,Executive,2011,740.0
0.1799,5.0,MA,Medical Technician,2013,700.0
0.0849,8.0,MO,Other,2013,700.0
0.2368,7.0,OK,Teacher,2012,780.0
0.0559,10.0,KS,Other,2014,740.0
0.152,7.0,FL,Retail Management,2014,680.0
0.1985,8.0,AZ,Other,2012,700.0
0.2686,2.0,WV,Accountant/CPA,2013,700.0
0.163,7.0,OH,Other,2013,700.0
0.3077,4.0,OK,Professional,2012,660.0
0.2079,5.0,VA,Professional,2013,700.0
0.2686,2.0,TX,Investor,2013,700.0
0.1459,4.0,WA,Other,2013,720.0
0.187,9.0,NY,Professional,2010,640.0
0.1234,8.0,NC,Other,2013,720.0
0.0999,6.0,FL,Administrative Assistant,2013,720.0
0.0999,11.0,WI,Sales - Commission,2014,720.0
0.1839,6.0,CA,Nurse (RN),2012,640.0
0.1555,6.0,CA,Professional,2013,660.0
0.1815,5.0,TX,Truck Driver,2013,660.0
0.1119,7.0,MI,Other,2013,700.0
0.0709,8.0,CO,Skilled Labor,2014,720.0
0.275,2.0,AL,Other,2014,640.0
0.2246,6.0,FL,Other,2012,600.0
0.1319,9.0,CA,Nurse (RN),2013,800.0
0.17,7.0,RI,Truck Driver,2013,720.0
0.0505,11.0,OR,Tradesman - Mechanic,2013,820.0
0.1999,5.0,CA,Other,2013,700.0
0.0799,8.0,NY,Professional,2012,680.0
0.2399,6.0,OH,Laborer,2012,720.0
0.312,5.0,FL,Professional,2010,680.0
0.14,4.0,NJ,Construction,2014,680.0
0.2832,2.0,FL,Truck Driver,2013,600.0
0.0717,9.0,NY,Computer Programmer,2012,740.0
0.2159,4.0,CA,Pharmacist,2013,720.0
0.191,10.0,FL,Administrative Assistant,2009,660.0
0.265,8.0,IL,Other,2010,660.0
0.2612,2.0,MA,Other,2013,660.0
0.2279,7.0,AL,Computer Programmer,2010,660.0
0.1674,4.0,NY,Computer Programmer,2013,720.0
0.1039,10.0,NY,Clerical,2014,680.0
0.3049,4.0,PA,Professional,2011,720.0
0.2858,6.0,MO,Police Officer/Correction Officer,2012,640.0
0.0934,7.0,NY,Professional,2012,740.0
0.3077,5.0,CO,Retail Management,2012,680.0
0.3077,4.0,VA,Other,2012,680.0
0.3099,4.0,MD,Other,2011,680.0
0.2246,6.0,MS,Other,2012,700.0
0.3395,5.0,OH,Other,2010,620.0
0.2473,6.0,NY,Other,2012,720.0
0.3099,5.0,NJ,Tradesman - Electrician,2011,680.0
0.1174,4.0,CA,Computer Programmer,2014,700.0
0.2389,6.0,TX,Other,2012,760.0
0.1255,11.0,MA,Other,2014,680.0
0.1214,9.0,WI,Truck Driver,2014,700.0
0.1264,9.0,NC,Scientist,2012,740.0
0.3077,1.0,CA,Engineer - Mechanical,2012,660.0
0.2452,5.0,MD,Skilled Labor,2012,720.0
0.1409,4.0,MI,Other,2013,760.0
0.129,9.0,TX,Teacher,2011,720.0
0.1774,4.0,NC,Accountant/CPA,2012,680.0
0.1724,4.0,DE,Retail Management,2013,680.0
0.2599,7.0,CA,Accountant/CPA,2011,740.0
0.2499,6.0,FL,Dentist,2011,700.0
0.2524,3.0,IL,Engineer - Electrical,2014,660.0
0.2599,6.0,IL,Other,2011,680.0
0.1214,7.0,IL,Skilled Labor,2014,680.0
0.1255,6.0,NY,Sales - Commission,2014,720.0
0.2739,8.0,NJ,Professional,2012,640.0
0.1099,10.0,TX,Retail Management,2013,740.0
0.188,3.0,SC,Other,2013,700.0
0.1349,8.0,FL,Administrative Assistant,2012,700.0
0.2187,5.0,KY,Other,2012,640.0
0.205,3.0,GA,Teacher,2014,680.0
0.2099,4.0,CT,Computer Programmer,2011,700.0
0.2759,2.0,MD,Civil Service,2013,660.0
0.2525,7.0,TX,Sales - Retail,2010,640.0
0.2599,6.0,CA,Architect,2011,660.0
0.2187,7.0,TX,Professional,2012,600.0
0.3335,5.0,KS,Other,2010,660.0
0.3077,3.0,OH,Other,2012,720.0
0.1139,4.0,NJ,Professional,2013,740.0
0.129,9.0,NY,Analyst,2011,800.0
0.179,6.0,AR,Nurse (RN),2014,660.0
0.187,4.0,GA,Administrative Assistant,2014,660.0
0.145,3.0,KY,Professional,2013,700.0
0.083,7.0,MS,Landscaping,2014,700.0
0.3077,5.0,IL,Administrative Assistant,2012,700.0
0.1419,7.0,MI,Professional,2013,700.0
0.0709,8.0,CA,Clerical,2014,720.0
0.265,8.0,AL,Executive,2010,660.0
0.0939,10.0,IL,Professional,2014,700.0
0.0864,9.0,IL,Analyst,2012,640.0
0.2024,4.0,OH,Executive,2013,660.0
0.1365,9.0,CA,Professional,2014,660.0
0.3077,5.0,OH,Nurse (LPN),2012,700.0
0.1585,3.0,AL,Waiter/Waitress,2014,700.0
0.2899,1.0,NJ,Other,2012,620.0
0.166,7.0,CA,Flight Attendant,2013,660.0
0.1634,2.0,CT,Executive,2013,700.0
0.3077,3.0,NJ,Other,2012,760.0
0.1634,4.0,KS,Retail Management,2012,700.0
0.0749,10.0,NY,Waiter/Waitress,2013,720.0
0.2499,6.0,TN,Other,2011,720.0
0.1669,6.0,CT,Tradesman - Electrician,2013,700.0
0.085,9.0,MD,Medical Technician,2009,800.0
0.1089,7.0,WA,Truck Driver,2013,680.0
0.2399,6.0,CA,Skilled Labor,2012,680.0
0.1205,4.0,MN,Sales - Commission,2014,700.0
0.2343,4.0,MN,Executive,2012,660.0
0.18,7.0,GA,Professional,2011,700.0
0.33,2.0,CO,Truck Driver,2010,640.0
0.1526,8.0,WA,Police Officer/Correction Officer,2012,740.0
0.185,6.0,VA,Civil Service,2013,700.0
0.1949,7.0,NV,Professional,2012,660.0
0.2172,3.0,CA,Other,2013,700.0
0.2399,6.0,MN,Professional,2011,680.0
0.2799,3.0,CA,Clerical,2011,660.0
0.3077,5.0,NM,Executive,2012,700.0
0.3025,1.0,CA,Bus Driver,2011,600.0
0.0719,10.0,VA,Professional,2013,760.0
0.1285,8.0,OH,Computer Programmer,2010,720.0
0.2319,2.0,WV,Other,2013,660.0
0.13,5.0,OH,Executive,2013,700.0
0.0999,7.0,PA,Nurse (LPN),2014,660.0
0.1169,7.0,IL,Analyst,2013,800.0
0.1999,3.0,PA,Medical Technician,2013,680.0
0.25,6.0,MO,Other,2010,620.0
0.3099,5.0,CA,Other,2011,640.0
0.1595,8.0,WA,Engineer - Mechanical,2013,700.0
0.2243,8.0,OK,Retail Management,2012,640.0
0.2024,8.0,CO,Construction,2012,680.0
0.2135,3.0,CA,Clerical,2014,660.0
0.2599,5.0,CT,Professional,2011,740.0
0.1802,5.0,KS,Other,2012,660.0
0.1119,7.0,NY,Other,2013,700.0
0.082,9.0,OK,Professional,2010,720.0
0.1815,6.0,PA,Computer Programmer,2013,720.0
0.2024,8.0,GA,Tradesman - Electrician,2012,740.0
0.2869,3.0,FL,Professional,2013,620.0
0.1199,6.0,IL,Professional,2013,760.0
0.1451,9.0,MD,Other,2012,800.0
0.315,7.0,NY,Architect,2010,720.0
0.3204,3.0,MI,Computer Programmer,2012,640.0
0.1124,8.0,CA,Executive,2012,720.0
0.1485,6.0,NV,Other,2014,720.0
0.093,8.0,ID,Engineer - Chemical,2010,820.0
0.0669,8.0,IL,Other,2014,780.0
0.101,8.0,IL,Computer Programmer,2011,760.0
0.3335,5.0,AZ,Professional,2010,660.0
0.2975,2.0,SC,Food Service,2013,680.0
0.1999,7.0,OH,Other,2012,680.0
0.1799,6.0,CA,Doctor,2013,680.0
0.3034,3.0,GA,Other,2013,620.0
0.2024,8.0,WV,Construction,2013,760.0
0.1015,9.0,TN,Analyst,2010,740.0
0.2399,5.0,ID,Other,2012,740.0
0.33,9.0,OH,Administrative Assistant,2009,640.0
0.1799,4.0,WA,Chemist,2013,700.0
0.3099,5.0,NV,Other,2011,700.0
0.1099,7.0,GA,Clerical,2012,700.0
0.142,8.0,PA,Laborer,2013,720.0
0.1365,7.0,VA,Other,2014,700.0
0.0769,10.0,MD,Civil Service,2013,780.0
0.1699,7.0,OH,Skilled Labor,2011,760.0
0.264,6.0,TN,Executive,2010,720.0
0.0799,8.0,NY,Professional,2012,640.0
0.2958,6.0,TX,Attorney,2012,640.0
0.1419,5.0,GA,Professional,2013,700.0
0.3099,4.0,WA,Other,2011,740.0
0.1585,3.0,OH,Other,2013,680.0
0.1805,4.0,OK,Other,2013,660.0
0.0939,7.0,VA,Accountant/CPA,2013,700.0
0.0939,9.0,WI,Social Worker,2013,700.0
0.2499,5.0,AL,Sales - Retail,2011,720.0
0.3077,3.0,AR,Truck Driver,2012,680.0
0.2294,4.0,TN,Skilled Labor,2014,640.0
0.1509,5.0,VA,Administrative Assistant,2011,720.0
0.1099,5.0,CA,Medical Technician,2013,720.0
0.2499,6.0,FL,Computer Programmer,2011,700.0
0.1255,9.0,CA,Sales - Commission,2014,660.0
0.2424,7.0,NC,Military Enlisted,2012,660.0
0.1945,4.0,MN,Engineer - Mechanical,2013,680.0
0.1699,8.0,SC,Other,2011,720.0
0.2219,3.0,OK,Doctor,2013,640.0
0.156,6.0,NJ,Civil Service,2013,720.0
0.1479,5.0,CT,Skilled Labor,2013,720.0
0.1169,9.0,VA,Doctor,2013,700.0
0.1365,4.0,MN,Teacher's Aide,2014,740.0
0.1349,6.0,WA,Police Officer/Correction Officer,2012,760.0
0.1945,5.0,CT,Skilled Labor,2013,640.0
0.2398,7.0,PA,Professional,2012,720.0
0.1505,4.0,DC,Executive,2014,680.0
0.275,2.0,WV,Landscaping,2014,660.0
0.0699,10.0,TX,Other,2013,740.0
0.3027,4.0,FL,Other,2011,660.0
0.1124,11.0,NY,Other,2014,720.0
0.2957,3.0,OH,Other,2012,640.0
0.1879,3.0,CT,Other,2013,720.0
0.1335,4.0,AL,Other,2013,700.0
0.185,4.0,TX,Other,2013,680.0
0.1419,4.0,MI,Professional,2013,760.0
0.185,4.0,IL,Military Enlisted,2013,720.0
0.1849,6.0,MO,Nurse (RN),2011,780.0
0.264,7.0,MD,Other,2010,660.0
0.14,11.0,CA,Analyst,2014,680.0
0.1077,7.0,NV,Pilot - Private/Commercial,2013,720.0
0.3077,4.0,NJ,Other,2012,700.0
0.3099,5.0,IN,Other,2011,700.0
0.2539,3.0,PA,Executive,2013,640.0
0.265,6.0,WA,Other,2010,760.0
0.2,5.0,OK,Sales - Commission,2010,600.0
0.089,10.0,CA,Engineer - Electrical,2013,700.0
0.1499,5.0,IN,Skilled Labor,2013,660.0
0.1053,8.0,NY,Computer Programmer,2013,720.0
0.1435,2.0,FL,Other,2013,720.0
0.3077,4.0,OH,Other,2012,660.0
0.0999,5.0,MN,Nurse (RN),2014,720.0
0.2599,6.0,MO,Nurse's Aide,2011,720.0
0.095,10.0,LA,Other,2013,680.0
0.221,4.0,HI,Retail Management,2013,720.0
0.1459,4.0,NY,Other,2013,720.0
0.14,7.0,VA,Pharmacist,2010,840.0
0.2246,4.0,CA,Scientist,2013,660.0
0.0989,8.0,NY,Professional,2013,720.0
0.0849,10.0,CA,Analyst,2013,720.0
0.0999,9.0,MS,Teacher's Aide,2013,740.0
0.2473,6.0,IL,Other,2012,720.0
0.1174,4.0,AR,Sales - Retail,2014,700.0
0.2155,8.0,GA,Teacher,2010,720.0
0.265,7.0,MI,Professional,2010,680.0
0.2204,4.0,OH,Skilled Labor,2013,660.0
0.2499,7.0,PA,Other,2011,640.0
0.3169,1.0,CA,Professional,2010,660.0
0.1695,3.0,NY,Food Service,2014,700.0
0.145,7.0,MI,Sales - Retail,2013,660.0
0.1179,4.0,TN,Executive,2012,680.0
0.2686,2.0,GA,Professional,2013,620.0
0.3099,7.0,NH,Professional,2011,640.0
0.1999,7.0,NC,Analyst,2012,700.0
0.163,8.0,WI,Truck Driver,2013,640.0
0.1775,3.0,NY,Other,2013,700.0
0.34,5.0,IL,Truck Driver,2010,700.0
0.0989,7.0,FL,Sales - Retail,2013,820.0
0.226,5.0,FL,Other,2009,760.0
0.1539,7.0,MD,Professional,2013,680.0
0.2246,4.0,SC,Religious,2013,640.0
0.1575,4.0,NC,Other,2014,700.0
0.2474,4.0,CO,Truck Driver,2011,620.0
0.1945,4.0,CO,Other,2013,660.0
0.2411,6.0,FL,Administrative Assistant,2011,640.0
0.0709,11.0,IL,Other,2013,820.0
0.1359,4.0,TX,Other,2013,760.0
0.2499,7.0,GA,Other,2011,640.0
0.2154,3.0,WI,Retail Management,2014,660.0
0.1174,6.0,CA,Food Service,2013,660.0
0.2099,2.0,TX,Other,2013,660.0
0.1019,5.0,CA,Other,2014,680.0
0.2051,8.0,TX,Executive,2011,700.0
0.3077,4.0,CA,Other,2012,800.0
0.2135,4.0,CO,Homemaker,2013,660.0
0.1699,8.0,MD,Engineer - Electrical,2011,680.0
0.25,5.0,IN,Engineer - Mechanical,2009,640.0
0.117,9.0,MN,Police Officer/Correction Officer,2012,720.0
0.3077,5.0,FL,Food Service Management,2012,660.0
0.3099,5.0,GA,Retail Management,2011,700.0
0.2018,7.0,FL,Professional,2012,640.0
0.1039,10.0,PA,Executive,2014,680.0
0.2862,6.0,FL,Truck Driver,2013,620.0
0.1139,9.0,CA,Professional,2013,660.0
0.3027,2.0,NC,Other,2012,720.0
0.2599,2.0,MS,Food Service,2013,680.0
0.166,4.0,WI,Nurse (RN),2013,700.0
0.1334,7.0,CA,Analyst,2012,700.0
0.3065,6.0,NY,Accountant/CPA,2012,660.0
0.2246,4.0,CA,Other,2013,680.0
0.1029,8.0,IL,Clerical,2011,740.0
0.1451,8.0,TX,Analyst,2012,760.0
0.2184,4.0,NY,Professional,2013,680.0
0.184,4.0,CT,Nurse (RN),2013,660.0
0.1335,6.0,NY,Sales - Commission,2013,740.0
0.2399,5.0,CA,Nurse (RN),2012,800.0
0.1451,8.0,TX,Retail Management,2012,780.0
0.3099,5.0,TX,Computer Programmer,2011,680.0
0.089,6.0,CA,Scientist,2014,800.0
0.285,7.0,WA,Executive,2011,680.0
0.2832,4.0,NY,Professional,2012,600.0
0.2479,4.0,IN,Sales - Commission,2013,660.0
0.2466,2.0,GA,Other,2013,640.0
0.1335,6.0,TX,Professional,2014,700.0
0.0749,10.0,CA,Analyst,2013,720.0
0.3132,5.0,MO,Accountant/CPA,2012,720.0
0.061,10.0,FL,Attorney,2010,820.0
0.191,4.0,WI,Analyst,2014,660.0
0.156,7.0,TX,Other,2013,740.0
0.1399,7.0,TX,Executive,2012,700.0
0.2529,3.0,CO,Administrative Assistant,2013,660.0
0.0874,8.0,NY,Other,2011,680.0
0.187,4.0,CA,Retail Management,2013,660.0
0.095,5.0,TX,Nurse (RN),2013,720.0
0.139,9.0,NJ,Truck Driver,2010,680.0
0.2246,3.0,MA,Other,2013,680.0
0.1949,3.0,TX,Sales - Retail,2013,720.0
0.1535,3.0,AR,Executive,2014,700.0
0.1069,7.0,MA,Tradesman - Electrician,2013,740.0
0.2625,6.0,OR,Other,2010,720.0
0.2532,4.0,GA,Clergy,2012,640.0
0.3077,4.0,MA,Other,2012,700.0
0.2809,6.0,NJ,Other,2012,680.0
0.1059,3.0,NE,Laborer,2013,720.0
0.1674,4.0,VA,Other,2013,700.0
0.089,11.0,NJ,Analyst,2013,740.0
0.3025,1.0,MO,Other,2011,640.0
0.1039,8.0,GA,Teacher,2014,700.0
0.1459,6.0,IL,Doctor,2013,740.0
0.0779,7.0,TN,Engineer - Electrical,2014,700.0
0.2825,3.0,OK,Social Worker,2013,700.0
0.0779,8.0,TX,Professional,2014,700.0
0.1695,7.0,MO,Teacher,2013,700.0
0.0599,10.0,MO,Engineer - Mechanical,2013,780.0
0.152,8.0,NJ,Executive,2013,720.0
0.1668,8.0,AL,Professional,2012,760.0
0.1915,7.0,WA,Executive,2013,680.0
0.2079,5.0,NY,Professional,2013,760.0
0.2392,7.0,FL,Nurse (RN),2012,660.0
0.2572,2.0,NE,Other,2013,680.0
0.189,9.0,FL,Other,2010,660.0
0.1555,7.0,MI,Religious,2013,700.0
0.0769,10.0,NJ,Analyst,2013,780.0
0.152,7.0,CA,Sales - Retail,2014,640.0
0.1234,6.0,TX,Military Enlisted,2013,740.0
0.1053,7.0,CA,Professional,2013,740.0
0.1499,8.0,NJ,Professional,2012,760.0
0.3204,6.0,CA,Civil Service,2012,640.0
0.1999,7.0,NY,Investor,2012,720.0
0.3077,5.0,OK,Professional,2012,720.0
0.2999,4.0,FL,Professional,2011,600.0
0.1435,4.0,FL,Truck Driver,2013,740.0
0.1585,5.0,AZ,Truck Driver,2013,660.0
0.1285,8.0,GA,Other,2012,720.0
0.1949,3.0,VA,Military Enlisted,2013,720.0
0.2927,6.0,OH,Skilled Labor,2012,740.0
0.0659,9.0,WY,Professor,2013,760.0
0.1959,4.0,NJ,Accountant/CPA,2013,720.0
0.3077,5.0,TX,Attorney,2012,700.0
0.2899,2.0,TX,Other,2013,640.0
0.174,2.0,OH,Attorney,2013,720.0
0.1139,9.0,DC,Other,2014,720.0
0.2195,7.0,LA,Tradesman - Electrician,2010,780.0
0.3077,4.0,OH,Truck Driver,2012,680.0
0.1419,6.0,MD,Skilled Labor,2013,720.0
0.2187,2.0,CA,Other,2012,740.0
0.1299,10.0,GA,Pilot - Private/Commercial,2013,760.0
0.2599,7.0,WA,Other,2011,720.0
0.1349,8.0,NY,Other,2012,700.0
0.0999,11.0,CA,Other,2013,720.0
0.1479,5.0,GA,Professional,2013,680.0
0.1174,6.0,TX,Computer Programmer,2014,700.0
0.0874,8.0,OH,Medical Technician,2012,760.0
0.0934,6.0,PA,Professional,2013,800.0
0.1479,6.0,NY,Other,2013,720.0
0.1365,4.0,FL,Computer Programmer,2014,740.0
0.1539,5.0,OH,Other,2013,700.0
0.152,2.0,OR,Realtor,2013,720.0
0.1719,5.0,MN,Professional,2013,760.0
0.0614,10.0,FL,Administrative Assistant,2010,740.0
0.3204,2.0,MI,Nurse's Aide,2012,640.0
0.187,4.0,TX,Other,2013,660.0
0.2024,3.0,WA,Executive,2013,720.0
0.1039,6.0,IL,Laborer,2013,700.0
0.3077,5.0,FL,Professor,2012,680.0
0.1265,8.0,GA,Professional,2010,820.0
0.2048,7.0,WI,Professional,2012,660.0
0.1945,7.0,NH,Professional,2013,640.0
0.3099,2.0,TX,Teacher,2011,760.0
0.145,6.0,ID,Tradesman - Electrician,2013,720.0
0.34,5.0,MO,Tradesman - Mechanic,2010,640.0
0.1409,6.0,IL,Police Officer/Correction Officer,2013,720.0
0.0699,10.0,GA,Other,2011,800.0
0.0999,8.0,IL,Other,2013,680.0
0.2271,9.0,CA,Computer Programmer,2009,640.0
0.0799,8.0,NC,Police Officer/Correction Officer,2012,700.0
0.1204,2.0,CA,Accountant/CPA,2012,740.0
0.34,6.0,PA,Professional,2009,660.0
0.0739,9.0,CT,Other,2012,780.0
0.1665,4.0,KY,Analyst,2013,740.0
0.1365,5.0,CA,Other,2013,740.0
0.2524,2.0,CA,Accountant/CPA,2013,660.0
0.3077,4.0,FL,Other,2012,660.0
0.1775,5.0,MD,Other,2014,640.0
0.1103,8.0,NY,Other,2013,760.0
0.1359,6.0,TX,Teacher,2013,740.0
0.184,4.0,FL,Other,2013,660.0
0.0699,8.0,MD,Nurse's Aide,2013,760.0
0.117,9.0,NY,Nurse's Aide,2012,720.0
0.189,9.0,NE,Analyst,2010,640.0
0.1985,6.0,MI,Police Officer/Correction Officer,2013,680.0
0.2246,4.0,TX,Professional,2013,700.0
0.0899,9.0,WA,Other,2012,740.0
0.1634,6.0,NY,Professor,2013,700.0
0.084,9.0,GA,Professional,2009,800.0
0.1199,7.0,CA,Truck Driver,2013,660.0
0.2973,3.0,VA,Sales - Commission,2012,620.0
0.0874,9.0,WA,Professional,2012,800.0
0.1985,5.0,NC,Other,2013,700.0
0.139,8.0,FL,Doctor,2011,840.0
0.163,3.0,FL,Administrative Assistant,2013,680.0
0.19,5.0,AK,Professional,2010,680.0
0.1319,6.0,OH,Professional,2013,740.0
0.1249,8.0,MI,Teacher,2013,720.0
0.1699,8.0,CO,Retail Management,2011,700.0
0.1214,11.0,WI,Computer Programmer,2013,740.0
0.187,5.0,WA,Executive,2014,700.0
0.1069,10.0,GA,Other,2013,700.0
